E3481,error.chief.MucrAlreadyShut
E408,error.chief.UcrNotExist
E1231,error.chief.Refused
E2897,error.chief.UcrAlreadyAssociated
E1036,error.chief.InvalidUcrFormat
E10200,error.chief.InvalidCharacterInUcrOrPart
E666,error.chief.EmptyConsolidation
E1001,error.chief.CannotDepartMovements
E1025,error.chief.DateTimeBeforeTimeout
E10419,error.chief.DataValidationPrimaryError
E10434,error.chief.InvalidCharacterInMessage
E1228,error.chief.DeclarationFinalised
E2165,error.chief.CancelledEntry
E2672,error.chief.TooManyAnticipatedArrivals
E2898,error.chief.AlreadyArrived
E3130,error.chief.MucrAlreadyInUseWithImports
E3199,error.chief.ArrivalAlreadyNotified
E3303,error.chief.InvalidMrnFormat
E3305,error.chief.MrnNotMatchEntry
E3476,error.chief.CannotArriveContainedMucr
E3479,error.chief.CannotDepartContainedMucr
E607,error.chief.NotSuitableEntryReference
E3464,error.chief.Refused
E3480,error.chief.MucrNotShutForAssociation
E1264,error.chief.CannotShutMovingConsolidation
E518,error.chief.ShedOperatorNotExist
E10334,error.chief.ServiceSegmentInvalid
E10003,error.chief.ErrorsOnDocument
